algorithm,run,A,objective,daily_variance,annual_variance,daily_volatility,annual_volatility,daily_return,annual_return,cardinality,time_sec,feasible,share_konserwatywne,share_zrównoważone,share_agresywne,hhi,effective_assets,max_weight,top3_weight
GA,2,10,7.38169076082415e-05,7.38169076082415e-05,0.01860186071727686,0.008591676647095228,0.13638863851977134,0.00023074368468235814,0.05814740853995425,10,0.08514740003738552,True,0.6684213297096233,0.1998752130655158,0.13170345722486068,0.10714900833817807,9.332797526635547,0.13251283936031893,0.38153492645206194
GA,3,10,5.80707486750919e-05,5.80707486750919e-05,0.014633828666123158,0.00762041656834401,0.12097036275932697,0.00024002329567416477,0.060485870509889524,10,0.06785900006070733,True,0.6593880707175297,0.34061192928247036,0.0,0.10210470185257323,9.793868273019184,0.1192591510438597,0.3464378602371735
GA,4,10,7.507753752730317e-05,7.507753752730317e-05,0.0189195394568804,0.00866472951264511,0.1375483168086051,0.000310214559548,0.078174069006096,10,0.06377060001250356,True,0.601499954245625,0.2939546766144524,0.10454536913992252,0.10057221855053919,9.943103716037482,0.11270685482907696,0.3255563790075223
PSO,0,10,5.737982299420935e-05,5.737982299420935e-05,0.014459715394540756,0.007574947062139071,0.1202485567253959,0.00023327318115042828,0.058784841649907923,10,0.19209330005105585,True,0.6679821559663243,0.3320178440336757,0.0,0.10150104935742624,9.85211489271008,0.11767842643713695,0.34721186175251895
PSO,1,10,6.284339412158458e-05,6.284339412158458e-05,0.015836535318639315,0.007927382551737023,0.12584329667741273,0.00023399275446804233,0.058966174125946666,10,0.7233740000519902,True,0.6033019364194703,0.3966980635805298,0.0,0.10151638814317104,9.8506262711955,0.11581447831073682,0.3429658555593189
PSO,2,10,6.247407481236155e-05,6.247407481236155e-05,0.015743466852715108,0.00790405432751835,0.12547297259854456,0.00023074364338534836,0.058147398133107785,10,0.3088121999753639,True,0.6213040190855086,0.3757721518741044,0.002923829040387098,0.11336194275679662,8.821302596633958,0.13572782929949107,0.3915350472760099
PSO,3,10,6.131490651857975e-05,6.131490651857975e-05,0.015451356442682099,0.007830383548625173,0.12430348523948193,0.00023074366231885796,0.058147402904352205,10,0.24114910000935197,True,0.6456618245450789,0.33104353793930774,0.023294637515613465,0.10748677787585754,9.303469875661875,0.12813387815055144,0.3553301723565856
PSO,4,10,6.628368965655393e-05,6.628368965655393e-05,0.01670348979345159,0.008141479574165493,0.12924198154412364,0.00024377422041966038,0.061431103545754415,10,0.3689563999651,True,0.6962173266019998,0.19886577549619464,0.10491689790180553,0.10093056859168992,9.907801114699502,0.11733662896240935,0.3335426115000423
SA,0,15,7.470487000772784e-05,7.470487000772784e-05,0.018825627241947418,0.008643197904001032,0.1372065131178087,0.0002307436753246876,0.05814740618182128,15,0.07408819999545813,True,0.5728082943827654,0.2944942546884942,0.13269745092874038,0.0742982003017292,13.459276213137644,0.1013779967807948,0.28576521000463956
SA,1,15,7.764788061717491e-05,7.764788061717491e-05,0.019567265915528077,0.008811803482668853,0.13988304370268786,0.00023074368304410215,0.05814740812711374,15,0.04874060000292957,True,0.5255229759676899,0.3274924029348785,0.14698462109743154,0.08876556665719906,11.265629654141323,0.15930225069337187,0.3927081769355334
SA,2,15,7.061543293116169e-05,7.061543293116169e-05,0.017795089098652746,0.008403298931441252,0.1333982349907702,0.00023458721785234732,0.05911597889879153,14,0.04700559994671494,True,0.572189956910799,0.33590229619401807,0.091907746895183,0.08724253804839993,11.46229835089421,0.1469288576667211,0.37186950878031216
SA,3,15,5.804319360006138e-05,5.804319360006138e-05,0.014626884787215466,0.007618608376866564,0.12094165860949431,0.00023074365611258136,0.058147401340370504,15,0.04266150004696101,True,0.7233009048679586,0.17425514316041402,0.10244395197162728,0.07758638276016344,12.888859673884008,0.11847035695904398,0.32994958247817063
SA,4,15,8.136091985832506e-05,8.136091985832506e-05,0.020502951804297915,0.009020028816934292,0.14318851840946575,0.00023074364801869542,0.05814739930071124,15,0.06967199989594519,True,0.5594441482618884,0.291328258545352,0.14922759319275974,0.07465782524585866,13.394443204136474,0.10359637856245187,0.2802124997799888
GA,0,15,8.306827090240532e-05,8.306827090240532e-05,0.020933204267406143,0.009114179661516736,0.1446831167324168,0.0003767718619914749,0.09494650922185167,15,0.21409999998286366,True,0.4724432125852569,0.4119560655151905,0.11560072189955262,0.06969027624605006,14.349204133864779,0.09662741562481618,0.26824133495211483
GA,1,15,8.00665581530676e-05,8.00665581530676e-05,0.020176772654573037,0.00894799185030181,0.14204496701598773,0.00023074366279188013,0.05814740302355379,15,0.12472399999387562,True,0.5187766607057672,0.3804661803998424,0.10075715889439035,0.06957095600959193,14.373814266144732,0.10075715889439035,0.2590791227048968
GA,2,15,7.148802458738209e-05,7.148802458738209e-05,0.018014982196020286,0.0084550591119981,0.13421990238418552,0.0002307436526602548,0.05814740047038421,15,0.09011579991783947,True,0.5846116677205905,0.28489876164429484,0.13048957063511468,0.07221197459067552,13.848118759643038,0.08838206761742463,0.26384797891911205
GA,3,15,7.571132799146078e-05,7.571132799146078e-05,0.01907925465384812,0.008701225660299863,0.13812767519164335,0.00035809339032932905,0.09023953436299093,15,0.15990749991033226,True,0.5921049357508488,0.23011074233304052,0.17778432191611093,0.06996605406667236,14.292645388391856,0.08907847471740239,0.2641898377630889
GA,4,15,6.58334805097043e-05,6.58334805097043e-05,0.016590037088445482,0.008113783365958466,0.12880231786907206,0.0002370077663470644,0.05972595711946023,15,0.09535660000983626,True,0.6545818663592321,0.2279175433266603,0.11750059031410749,0.06980686444276621,14.325238756711208,0.0888732123130971,0.2598060156174637
PSO,0,15,7.067397321458576e-05,7.067397321458576e-05,0.017809841250075613,0.008406781382585476,0.13345351718885348,0.0002358622743392589,0.05943729313349324,15,0.11318079999182373,True,0.6296388386442813,0.20062617656121862,0.1697349847945001,0.06901393769290644,14.489826742675262,0.09264202205266592,0.2510246217678769
PSO,1,15,6.858521870299553e-05,6.858521870299553e-05,0.017283475113154874,0.008281619328548947,0.1314666311774774,0.0002307436555035381,0.0581474011868916,15,0.28846880001947284,True,0.5554179759552114,0.3694026140482362,0.07517940999655241,0.07181484556523353,13.924697492966727,0.0942670079141383,0.2745283368177962
PSO,2,15,7.776421306733805e-05,7.776421306733805e-05,0.019596581692969187,0.008818401956553016,0.13998779122826815,0.00023074364873163354,0.058147399480371655,15,0.4153967999154702,True,0.49399017009873336,0.4230996259719699,0.08291020392929681,0.07311229635539308,13.677589815249123,0.08642826832994749,0.2561725432501817
PSO,3,15,7.790164442200207e-05,7.790164442200207e-05,0.019631214394344523,0.008826190821753293,0.1401114356301602,0.0002307437118747434,0.058147415392435335,15,0.15607560006901622,True,0.5386286451348378,0.3316876750796134,0.12968367978554873,0.06743728053526045,14.828593206351748,0.0780569035891135,0.23278709801623215
PSO,4,15,7.485611181477959e-05,7.485611181477959e-05,0.018863740177324458,0.008651942661320612,0.13734533183666806,0.00027457717720777186,0.06919344865635851,15,0.20530580007471144,True,0.5830503869906385,0.2886759534773448,0.12827365953201655,0.07050602113830623,14.183185830872189,0.09432771827409013,0.26921984299016977
